RADIO_ID,CALLSIGN,FIRST_NAME,LAST_NAME,CITY,STATE,COUNTRY
0028,KOMPAS, , , , ,
0030,VETER, , , , ,
0035,VORON, , , , ,
0038,KOTOFEY, , , , ,
0045,MAGIC, , , , ,
0056,TEXAS, , , , ,
0057,OMEGA, , , , ,
0077,WOROBEY, , , , ,
0100,RADIO, , , , ,
0101,MARIOTT, , , , ,
0102,DOMOSED, , , , ,
0110,BESS, , , , ,
0111,MORYAK, , , , ,
0114,TON114, , , , ,
0115,DRIM, , , , ,
0123,NEMO, , , , ,
0163,EGER163, , , , ,
0165,ROO165, , , , ,
0197,CATMAN, , , , ,
0233,PIZZA, , , , ,
0292,KARAS, , , , ,
0327,MEDIC, , , , ,
0333,DIVER, , , , ,
0345,CHAJKA, , , , ,
0500,BOBER, , , , ,
0524,ANGARA, , , , ,
0542,VETERAN, , , , ,
0543,PRIMUS, , , , ,
0545,ANDR545, , , , ,
0717,BULKA, , , , ,
0777,FIJI, , , , ,
0850,QRA7787, , , , ,
0888,PYTHON, , , , ,
0920,AMIGO, , , , ,
0985,QRATRCK, , , , ,
0999,ORCA28, , , , ,
1015,SERAFIM, , , , ,
1835,YARPIX, , , , ,
1976,KALGAN, , , , ,
1988,INDEEC, , , , ,
1995,BOMBIL, , , , ,
2158,VANDAM, , , , ,
2202,REVAZ, , , , ,
2641,RUBIN, , , , ,
2642,METEOR, , , , ,
2779,EPSILON, , , , ,
2785,CACTUS, , , , ,
3083,PEKA, , , , ,
3306,ALTAIR, , , , ,
3883,KOSTIK, , , , ,
4077,RADAR, , , , ,
4100,LIVSI, , , , ,
5053,KSYTAL, , , , ,
5778,TUMAN, , , , ,
7029,SORENTO, , , , ,
7194,KRAFT, , , , ,
7652,ORION, , , , ,
7878,DECODER, , , , ,
7979,LOGOS, , , , ,
8001,BAIKAL, , , , ,
8585,MARKIZ, , , , ,
0176,KVANT, , , , ,
1173,ETNA, , , , ,
6939,FERRUM, , , , ,
0056,AYVENGO, , , , ,
0162,LISENOK, , , , ,
0305,VALKOD, , , , ,
0555,BOLTIK, , , , ,
0996,RYZHYI, , , , ,
1081,ULUDAG, , , , ,
1108,ECHO, , , , ,
1620,SKALD, , , , ,
1881,EMILIEN, , , , ,
1958,ANDREY, , , , ,
1984,CONTUR, , , , ,
2252,AMUR, , , , ,
2266,GLUHAR, , , , ,
2846,ROLAN, , , , ,
6534,OLEG, , , , ,
9113,KOMYAGA, , , , ,
9172,MAKAROV, , , , ,
4145,BIBA, , , , ,
0001,NEPTUNE, , , , ,
0055,KUBIK, , , , ,
0059,DOBRIY, , , , ,
8910,AHECT, , , , ,
0001,AZIMUTH, , , , ,
0005,BASTION, , , , ,
1982,ROBOT, , , , ,
0059,KERCH, , , , ,
0082,PLYAZH, , , , ,
0083,GREK, , , , ,
7777,DELTA, , , , ,
0664,BUGEL, , , , ,
5086,MASTER, , , , ,
5123,BATTON, , , , ,
0001,TAYGA, , , , ,
0011,GRAFIT, , , , ,
4019,BUNCH, , , , ,
8127,RADIO8, , , , ,
0001,VIKTOR, , , , ,
0357,ARTIST, , , , ,
9876,VADOS, , , , ,
3553,MANUL, , , , ,
0015,KOSHEY, , , , ,
0787,SANSEY, , , , ,
9209,DJON109, , , , ,
0002,SEVERNY, , , , ,
1990,LOST, , , , ,
