No.,Call Type,Contacts Alias,City,Province,Country,Call ID,
222,Private Call,VOYAGER,,,,5973842,
223,Private Call,SMOLNY,,,,5973888,
224,Private Call,DVS001,,,,5973901,
225,Private Call,TRANSIT,,,,5973909,
226,Private Call,CMRADUGA,,,,5973911,
227,Private Call,LESHIY,,,,6000001,
228,Private Call,BORBIST,,,,6100061,
229,Private Call,SELMASH,,,,6100555,
230,Private Call,ROSTOV,,,,6100777,
231,Private Call,BATAYSK,,,,6102504,
232,Private Call,GSTAR,,,,6107007,
233,Private Call,TAYNIK,,,,6107373,
234,Private Call,MARCONI,,,,6201488,
235,Private Call,BOTANIK,,,,6201499,
236,Private Call,DEN53,,,,6400555,
237,Private Call,SHAMAN,,,,6600001,
238,Private Call,QRAP25,,,,6660333,
239,Private Call,QRA909,,,,6660444,
240,Private Call,QRAPOC,,,,6660555,
241,Private Call,QRALINK,,,,6660666,
242,Private Call,CAPYBAR,,,,6660667,
243,Private Call,QRASAO,,,,6660777,
244,Private Call,QRAZAO,,,,6660888,
245,Private Call,QRASKLV,,,,6660999,
246,Private Call,VIRAZH,,,,6700067,
247,Private Call,SUMRAK,,,,7000001,
248,Private Call,PRINTER,,,,7600001,
249,Private Call,BARON,,,,7700023,
250,Private Call,NAUM,,,,7700024,
251,Private Call,CCCP,,,,7700025,
252,Private Call,VETER,,,,7700030,
253,Private Call,RADIO,,,,7700100,
254,Private Call,MARIOTT,,,,7700101,
255,Private Call,MORYAK,,,,7700111,
256,Private Call,NEMO,,,,7700123,
257,Private Call,ROO165,,,,7700165,
258,Private Call,MEDIC,,,,7700327,
259,Private Call,CHAJKA,,,,7700345,
260,Private Call,BOBER,,,,7700500,
261,Private Call,ANGARA,,,,7700524,
262,Private Call,PRIMUS,,,,7700543,
263,Private Call,ANDR545,,,,7700545,
264,Private Call,BRODYGA,,,,7700666,
265,Private Call,FIJI,,,,7700777,
266,Private Call,QRA7787,,,,7700850,
267,Private Call,PYTHON,,,,7700888,
268,Private Call,ORCA28,,,,7700999,
269,Private Call,REVAZ,,,,7702202,
270,Private Call,RUBIN,,,,7702641,
271,Private Call,CACTUS,,,,7702785,
272,Private Call,ALTAIR,,,,7703306,
273,Private Call,RADAR,,,,7704077,
274,Private Call,TUMAN,,,,7705778,
275,Private Call,VITAMIN,,,,7770348,
276,Private Call,AYVENGO,,,,7800056,
277,Private Call,VALKOD,,,,7800305,
278,Private Call,BOLTIK,,,,7800555,
279,Private Call,ULUDAG,,,,7801081,
280,Private Call,OLEG,,,,7806534,
281,Private Call,KOMYAGA,,,,7809113,
282,Private Call,NEPTUNE,,,,8000001,
283,Private Call,KVAK,,,,8200001,
284,Private Call,LESNIK,,,,8600001,
285,Private Call,KOSHEY,,,,9200015,
286,Private Call,SANSEY,,,,9200787,
287,Private Call,LOST,,,,9601990,
