"No.","Radio ID","Name","Call Type","Call Alert"
"202","5973770","ON770","Private Call","None"
"203","5973777","SOKOL","Private Call","None"
"204","5973781","PAROVOZ","Private Call","None"
"205","5973795","ONARKA","Private Call","None"
"206","5973801","QENERGY","Private Call","None"
"207","5973817","DIREKTOR","Private Call","None"
"208","5973842","VOYAGER","Private Call","None"
"209","5973888","SMOLNY","Private Call","None"
"210","5973901","DVS001","Private Call","None"
"211","5973909","TRANSIT","Private Call","None"
"212","5973911","CMRADUGA","Private Call","None"
"213","6000001","LESHIY","Private Call","None"
"214","6100061","BORBIST","Private Call","None"
"215","6100555","SELMASH","Private Call","None"
"216","6100777","ROSTOV","Private Call","None"
"217","6102504","BATAYSK","Private Call","None"
"218","6107007","GSTAR","Private Call","None"
"219","6107373","TAYNIK","Private Call","None"
"220","6201488","MARCONI","Private Call","None"
"221","6201499","BOTANIK","Private Call","None"
"222","6400555","DEN53","Private Call","None"
"223","6600001","SHAMAN","Private Call","None"
"224","6660333","QRAP25","Private Call","None"
"225","6660444","QRA909","Private Call","None"
"226","6660555","QRAPOC","Private Call","None"
"227","6660666","QRALINK","Private Call","None"
"228","6660667","CAPYBAR","Private Call","None"
"229","6660777","QRASAO","Private Call","None"
"230","6660888","QRAZAO","Private Call","None"
"231","6660999","QRASKLV","Private Call","None"
"232","6700067","VIRAZH","Private Call","None"
"233","7000001","SUMRAK","Private Call","None"
"234","7600001","PRINTER","Private Call","None"
"235","7700023","BARON","Private Call","None"
"236","7700024","NAUM","Private Call","None"
"237","7700025","CCCP","Private Call","None"
"238","7700030","VETER","Private Call","None"
"239","7700100","RADIO","Private Call","None"
"240","7700101","MARIOTT","Private Call","None"
"241","7700111","MORYAK","Private Call","None"
"242","7700123","NEMO","Private Call","None"
"243","7700165","ROO165","Private Call","None"
"244","7700327","MEDIC","Private Call","None"
"245","7700345","CHAJKA","Private Call","None"
"246","7700500","BOBER","Private Call","None"
"247","7700524","ANGARA","Private Call","None"
"248","7700543","PRIMUS","Private Call","None"
"249","7700545","ANDR545","Private Call","None"
"250","7700666","BRODYGA","Private Call","None"
"251","7700777","FIJI","Private Call","None"
"252","7700850","QRA7787","Private Call","None"
"253","7700888","PYTHON","Private Call","None"
"254","7700999","ORCA28","Private Call","None"
"255","7702202","REVAZ","Private Call","None"
"256","7702641","RUBIN","Private Call","None"
"257","7702785","CACTUS","Private Call","None"
