"No.","Radio ID","Callsign","Name","City","State","Country","Remarks","Call Type","Call Alert"
"190","5500099","QASHQAI","","","","","","Private Call","None"
"191","5550222","QRAOLD","","","","","","Private Call","None"
"192","5566777","TESTCA","","","","","","Private Call","None"
"193","5600076","VERESK","","","","","","Private Call","None"
"194","5700057","OREL808","","","","","","Private Call","None"
"195","5800030","OLIMP","","","","","","Private Call","None"
"196","5800077","SMOG158","","","","","","Private Call","None"
"197","5900111","TAYGA","","","","","","Private Call","None"
"198","5900175","CHERMOZ","","","","","","Private Call","None"
"199","5902505","FORWARD","","","","","","Private Call","None"
"200","5973005","DSPET4R","","","","","","Private Call","None"
"201","5973007","ORBIT","","","","","","Private Call","None"
"202","5973008","PARTZAN","","","","","","Private Call","None"
"203","5973009","DEVYATK","","","","","","Private Call","None"
"204","5973011","CMETAHA","","","","","","Private Call","None"
"205","5973013","BOROVIK","","","","","","Private Call","None"
"206","5973015","ALUPKA1","","","","","","Private Call","None"
"207","5973031","SEDOY","","","","","","Private Call","None"
"208","5973058","OBERON","","","","","","Private Call","None"
"209","5973062","TAIFUN","","","","","","Private Call","None"
"210","5973077","ZAPAD77","","","","","","Private Call","None"
"211","5973111","HYTERA","","","","","","Private Call","None"
"212","5973162","SQUID","","","","","","Private Call","None"
"213","5973188","MIX1888","","","","","","Private Call","None"
"214","5973203","ALEX203","","","","","","Private Call","None"
"215","5973212","TURBINA","","","","","","Private Call","None"
"216","5973213","ACROBAT","","","","","","Private Call","None"
"217","5973215","ARCTIC","","","","","","Private Call","None"
"218","5973220","ROMA220","","","","","","Private Call","None"
"219","5973232","SANICH","","","","","","Private Call","None"
"220","5973272","TASKENT","","","","","","Private Call","None"
"221","5973415","HOLODOK","","","","","","Private Call","None"
"222","5973501","QRA1731","","","","","","Private Call","None"
"223","5973515","ASPIRIN","","","","","","Private Call","None"
"224","5973666","QRABOT","","","","","","Private Call","None"
"225","5973717","KAMA","","","","","","Private Call","None"
"226","5973723","ORANGE","","","","","","Private Call","None"
"227","5973744","NIKON","","","","","","Private Call","None"
"228","5973750","GNOM","","","","","","Private Call","None"
"229","5973757","SURGUT","","","","","","Private Call","None"
"230","5973770","ON770","","","","","","Private Call","None"
"231","5973781","PAROVOZ","","","","","","Private Call","None"
"232","5973795","ONARKA","","","","","","Private Call","None"
"233","5973801","QENERGY","","","","","","Private Call","None"
"234","5973817","DIREKTOR","","","","","","Private Call","None"
"235","5973842","VOYAGER","","","","","","Private Call","None"
"236","5973888","SMOLNY","","","","","","Private Call","None"
"237","5973901","DVS001","","","","","","Private Call","None"
"238","5973909","TRANSIT","","","","","","Private Call","None"
"239","5973911","CMRADUGA","","","","","","Private Call","None"
"240","6000001","LESHIY","","","","","","Private Call","None"
"241","6100061","BORBIST","","","","","","Private Call","None"
"242","6100555","SELMASH","","","","","","Private Call","None"
"243","6100777","ROSTOV","","","","","","Private Call","None"
"244","6102504","BATAYSK","","","","","","Private Call","None"
"245","6107007","GSTAR","","","","","","Private Call","None"
"246","6107373","TAYNIK","","","","","","Private Call","None"
"247","6201488","MARCONI","","","","","","Private Call","None"
"248","6201499","BOTANIK","","","","","","Private Call","None"
"249","6400555","DEN53","","","","","","Private Call","None"
"250","6600001","SHAMAN","","","","","","Private Call","None"
"251","6660111","P25DMR","","","","","","Private Call","None"
"252","6660333","QRAP25","","","","","","Private Call","None"
"253","6660444","QRA909","","","","","","Private Call","None"
"254","6660555","QRAPOC","","","","","","Private Call","None"
"255","6660666","QRALINK","","","","","","Private Call","None"
"256","6660667","CAPYBAR","","","","","","Private Call","None"
"257","6660777","QRASAO","","","","","","Private Call","None"
"258","6660888","QRAZAO","","","","","","Private Call","None"
"259","6660999","QRASKLV","","","","","","Private Call","None"
"260","6700067","VIRAZH","","","","","","Private Call","None"
"261","7000001","SUMRAK","","","","","","Private Call","None"
"262","7600001","PRINTER","","","","","","Private Call","None"
