Number,Name,Call ID,Type,Ring Style,Call Receive Tone,Repeater Slot override
236,BRODYGA,7700666,Private Call,On,None,2
237,FIJI,7700777,Private Call,On,None,2
238,QRA7787,7700850,Private Call,On,None,2
239,PYTHON,7700888,Private Call,On,None,2
240,ORCA28,7700999,Private Call,On,None,2
241,REVAZ,7702202,Private Call,On,None,2
242,RUBIN,7702641,Private Call,On,None,2
243,CACTUS,7702785,Private Call,On,None,2
244,ALTAIR,7703306,Private Call,On,None,2
245,RADAR,7704077,Private Call,On,None,2
246,TUMAN,7705778,Private Call,On,None,2
247,VITAMIN,7770348,Private Call,On,None,2
248,AYVENGO,7800056,Private Call,On,None,2
249,VALKOD,7800305,Private Call,On,None,2
250,BOLTIK,7800555,Private Call,On,None,2
251,ULUDAG,7801081,Private Call,On,None,2
252,OLEG,7806534,Private Call,On,None,2
253,KOMYAGA,7809113,Private Call,On,None,2
254,NEPTUNE,8000001,Private Call,On,None,2
255,KVAK,8200001,Private Call,On,None,2
256,LESNIK,8600001,Private Call,On,None,2
257,KOSHEY,9200015,Private Call,On,None,2
258,SANSEY,9200787,Private Call,On,None,2
259,LOST,9601990,Private Call,On,None,2
