"ContactName","Delete_Contact","Rename_Contact","Comments","Delete_FiveToneCalls","FiveToneCalls-S5CLDLL_5TTELEGRAM","FiveToneCalls-S5CLDLL_5TCALLADD","Delete_MDCCalls","MDCCalls-AU_CALLLSTID","MDCCalls-AU_MDCSYS","MDCCalls-AU_RVRTPERS_Zone","MDCCalls-AU_RVRTPERS","MDCCalls-AU_SPTPLDPL","MDCCalls-AU_CALLTYPE","Delete_QuikCallIICalls","QuikCallIICalls-QU_QCIISYS","QuikCallIICalls-QU_RVRTPERS_Zone","QuikCallIICalls-QU_RVRTPERS","QuikCallIICalls-QU_CALLFORMAT","QuikCallIICalls-QU_TONEATXFRE","QuikCallIICalls-QU_CODEA","QuikCallIICalls-QU_TONEBTXFRE","QuikCallIICalls-QU_CODEB","QuikCallIICalls-QU_STRIPPLDPL","Delete_DigitalCalls","DigitalCalls-DU_CALLLSTID","DigitalCalls-DU_ROUTETYPE","DigitalCalls-DU_CALLPRCDTNEN","DigitalCalls-DU_RINGTYPE","DigitalCalls-DU_TXTMSGALTTNTP","DigitalCalls-DU_CALLTYPE","DigitalCalls-DU_OVCMCALL","Delete_CapacityPlusCalls","CapacityPlusCalls-CAPPLUSUCL_CALLLSTID","CapacityPlusCalls-CAPPLUSUCL_ROUTETYPE","CapacityPlusCalls-CAPPLUSUCL_CALLPRCDTNEN","CapacityPlusCalls-CAPPLUSUCL_RINGTYPE","CapacityPlusCalls-CAPPLUSUCL_TXTMSGALTTNTP","CapacityPlusCalls-CAPPLUSUCL_CALLTYPE","Delete_PhoneCalls","PhoneCalls-PHNUCLELL_CALLID","PhoneCalls-PHNUCLELL_RINGTYPE"
"Contact Name","Delete_Contact","Rename_Contact","Comments","Delete_FiveToneCalls","Five Tone Calls - Telegram","Five Tone Calls - Address","Delete_MDCCalls","MDC Calls - Call ID (Hex)","MDC Calls - MDC System","MDC Calls - Revert Channel Zone","MDC Calls - Revert Channel","MDC Calls - Strip TPL/DPL","MDC Calls - Call Type","Delete_QuikCallIICalls","Quik CallII Calls - Quik-Call II System","Quik CallII Calls - Revert Channel Zone","Quik CallII Calls - Revert Channel","Quik CallII Calls - Call Format","Quik CallII Calls - Tone A Freq (Hz)","Quik CallII Calls - Tone A Code","Quik CallII Calls - Tone B Freq (Hz)","Quik CallII Calls - Tone B Code","Quik CallII Calls - Strip TPL/DPL","Delete_DigitalCalls","Digital Calls - Call ID","Digital Calls - Route Type","Digital Calls - Call Receive Tone","Digital Calls - Ring Style","Digital Calls - Text Message Alert Tone","Digital Calls - Call Type","Digital Calls - DU_OVCMCALL","Delete_CapacityPlusCalls","Capacity Plus Calls - Call ID","Capacity Plus Calls - Route Type","Capacity Plus Calls - Call Receive Tone","Capacity Plus Calls - Ring Style","Capacity Plus Calls - Text Message Alert Tone","Capacity Plus Calls - Call Type","Delete_PhoneCalls","Phone Calls - Number","Phone Calls - Ring Type"
"TATA","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500620","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"QRA0","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500621","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"SHRA","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500632","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"CARB","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500643","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"LAKE","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500647","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"MEDV","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500675","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"INGO","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500685","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"VISI","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500690","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"PROR","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500707","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"215","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500718","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"MALA","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500722","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"KAMY","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500728","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"MIX6","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500761","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"STOO","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500763","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"HERT","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500776","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"MALI","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500782","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"PAVE","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500786","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"BOLH","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500787","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"RECH","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","2500789","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
